card_id	reviews	curr_dur	curr_ease	avg_ease	notes_id	character
1566139448484	64	7	ease_3	2.375	1566139428993	掌
1572468737710	60	14	ease_3	2.1666666666666665	1572468717155	谦
1565813705401	56	21	ease_3	2.357142857142857	1565813675813	屋
1569527121850	55	18	ease_3	2.381818181818182	1569527099842	际
1576696106086	55	6	ease_3	2.1454545454545455	1576696097161	惯
1554630519396	54	105	ease_3	2.2777777777777777	1554630392587	着
1569027960701	54	21	ease_2	2.2962962962962963	1569027956387	乎
1572468392725	54	9	ease_3	2.3518518518518516	1572468380430	洋
1566138759675	53	7	ease_3	2.2452830188679247	1566138730013	级
1570103317938	53	12	ease_3	2.3962264150943398	1570103315512	锁
1572468463509	53	10	ease_2	2.2641509433962264	1572468451065	牌
1572469014422	53	8	ease_3	2.4150943396226414	1572469009959	酱
1552939891397	51	16	ease_3	2.5098039215686274	1552939691683	念
1570191747269	51	12	ease_1	2.196078431372549	1570191744121	演
1569027789148	49	11	ease_3	2.3877551020408165	1569027785289	检
1562816957976	47	9	ease_3	2.1914893617021276	1562816525800	序
1563697374984	47	10	ease_3	2.297872340425532	1563697345541	确
1563696394850	45	5	ease_3	2.311111111111111	1563696362929	使
1566139767497	45	17	ease_3	2.2888888888888888	1566139750064	喊
1568439281908	45	13	ease_3	2.3333333333333335	1568439279233	软
1576425112253	45	4	ease_3	2.1777777777777776	1576425108461	摔
1554628510372	44	11	ease_4	2.659090909090909	1554628225147	棵
1572468527821	44	22	ease_3	2.2954545454545454	1572468519408	概
1572468680147	44	8	ease_2	2.1818181818181817	1572468668064	悄
1572767696567	44	4	ease_3	2.090909090909091	1572767692138	既
1566138135444	43	20	ease_3	2.2790697674418605	1566138114371	团
1566139553453	43	7	ease_3	2.395348837209302	1566139535446	复
1569046162437	43	16	ease_3	2.255813953488372	1569046110871	印
1572413701547	43	7	ease_3	2.4186046511627906	1572412962626	趟
1572980603030	43	18	ease_3	2.302325581395349	1572980597119	墙
1563698726139	42	6	ease_2	2.3333333333333335	1563698685178	毛
1571068959383	42	15	ease_2	2.1904761904761907	1571068949210	款
1550920173196	41	39	ease_3	2.4390243902439024	1550920167254	地
1562656774934	41	29	ease_3	2.3902439024390243	1562656406156	收
1566137497514	41	12	ease_3	2.4146341463414633	1566137481760	嗽
1571634716512	41	15	ease_3	2.4390243902439024	1571634704379	冈 (NP)
1563697475111	40	41	ease_3	2.5	1563697444867	炎
1566140527187	40	17	ease_3	2.35	1566140514564	继
1568021282250	40	3	ease_3	2.175	1568021280146	充
1568945532922	40	14	ease_3	2.35	1568945529342	专
1569028022640	40	27	ease_3	2.175	1569028018786	绍
1574624804734	40	7	ease_3	2.4	1574624789708	瞎
1552938772813	39	88	ease_3	2.3333333333333335	1552938674976	理
1556369554356	39	20	ease_3	2.358974358974359	1556369465063	俩
1561371285292	39	24	ease_3	2.3076923076923075	1561371252754	访
1563698555613	39	31	ease_3	2.358974358974359	1563698534713	祖
1566137754197	39	7	ease_3	2.358974358974359	1566137736974	处
1566139143888	39	21	ease_2	2.3846153846153846	1566139122331	结
1567926032181	39	27	ease_3	2.4615384615384617	1567926029815	窗
1568954736994	39	17	ease_2	2.358974358974359	1568954734133	秒
1569527349519	39	23	ease_3	2.358974358974359	1569527317374	拳
1574947732500	39	3	ease_3	2.282051282051282	1574947728391	歉
1576939960487	39	4	ease_3	2.282051282051282	1576939560477	续
1577021567157	39	15	ease_3	2.128205128205128	1577021405223	申
1579362404400	39	15	ease_2	2.128205128205128	1579362057287	销
1558986451881	38	13	ease_3	2.3421052631578947	1558986403454	论
1563698345914	38	53	ease_3	2.289473684210526	1563698322534	初
1566140151055	38	15	ease_3	2.289473684210526	1566140130267	厄 (inner part, no story)
1568136225786	38	4	ease_3	2.1578947368421053	1568136207030	拐
1569165054336	38	17	ease_3	2.473684210526316	1569165045466	失
1572468434509	38	19	ease_3	2.3684210526315788	1572468420102	炊
1572468495467	38	9	ease_3	2.3421052631578947	1572468488230	授
1578152017194	38	18	ease_3	2.0526315789473686	1578151945296	NA
1578251230949	38	11	ease_3	2.210526315789474	1578251066800	卧
1580590082309	38	9	ease_3	2.236842105263158	1580590047884	偶
1550920161146	37	115	ease_3	2.6216216216216215	1550920147983	友
1561372913739	37	44	ease_3	2.189189189189189	1561372893675	排
1565813726942	37	34	ease_3	2.2972972972972974	1565813705416	握
1572468420073	37	25	ease_3	2.27027027027027	1572468403599	傅
1574690651336	37	3	ease_3	2.2972972972972974	1574690644884	招
1576948096972	37	11	ease_3	2.081081081081081	1576948011792	训
1577304603687	37	4	ease_3	2.054054054054054	1577304111039	圈
1556368884304	36	17	ease_3	2.5277777777777777	1556368857445	入
1556370110829	36	82	ease_3	2.3333333333333335	1556370016003	切
1558986676694	36	89	ease_3	2.361111111111111	1558986601783	识
1566138010184	36	8	ease_3	2.388888888888889	1566137995090	庄 (NP)
1566140611522	36	19	ease_3	2.0555555555555554	1566140595165	亦 (no pronounce)
1567926091369	36	31	ease_3	2.361111111111111	1567926088911	吵
1568021055530	36	21	ease_3	2.25	1568021053030	紧
1570044701185	36	22	ease_3	2.388888888888889	1570044689678	健
1579084395023	36	16	ease_2	2.3055555555555554	1579084392319	乖
1552220837950	35	19	ease_3	2.4285714285714284	1552220789115	利
1554629863551	35	85	ease_3	2.2857142857142856	1554629700736	还
1565813600509	35	41	ease_3	2.3714285714285714	1565813574295	数
1565813929144	35	9	ease_3	2.4285714285714284	1565813910079	搞
1568945584724	35	3	ease_3	2.342857142857143	1568945572932	压
1569022498409	35	12	ease_3	2.4	1569022495853	引
1578325838977	35	7	ease_3	2.3142857142857145	1578325673904	漠
1552215310430	34	81	ease_2	2.2941176470588234	1552214805326	得
1557313273472	34	5	ease_3	2.3529411764705883	1557313143947	窄
1558987574999	34	25	ease_3	2.264705882352941	1558987433031	然
1561372423638	34	36	ease_2	2.235294117647059	1561372381761	将
1563697658079	34	101	ease_3	2.4411764705882355	1563697639043	态
1563698616469	34	9	ease_3	2.264705882352941	1563698594995	谊
1567422834515	34	20	ease_3	2.323529411764706	1567422820242	铅
1567925976919	34	28	ease_3	2.3823529411764706	1567925974569	馅
1569027591678	34	13	ease_3	2.323529411764706	1569027588682	址
1570177194081	34	13	ease_3	2.4705882352941178	1570177190702	功
1571309034038	34	29	ease_3	2.411764705882353	1571309026312	息
1571334363019	34	3	ease_3	2.323529411764706	1571334350591	货
1572008597330	34	40	ease_2	2.3529411764705883	1572008594308	甫 (NP)
1577301166870	34	16	ease_3	2.235294117647059	1577301159060	甚
1580246155229	34	7	ease_3	2	1580246086213	统
1585389036748	34	5	ease_3	2	1585389016428	逭
1561373741531	33	13	ease_3	2.090909090909091	1561373700296	拾
1562665027668	33	14	ease_3	2.4242424242424243	1562664982055	巴
1563696117045	33	6	ease_3	2.242424242424242	1563696089510	历
1569027417984	33	13	ease_2	2.0606060606060606	1569027415081	舒
1570891287985	33	15	ease_3	2.212121212121212	1570891275824	跳
1572158621879	33	8	ease_3	2.4242424242424243	1572158618609	NA
1573752284934	33	4	ease_2	2.1515151515151514	1573752275444	录
1577001879212	33	11	ease_3	2.4242424242424243	1577001876026	川
1577091394697	33	29	ease_3	2.1818181818181817	1577091388135	据
1577909392809	33	18	ease_3	2.3636363636363638	1577909387214	咬
1578343159326	33	7	ease_3	2.212121212121212	1578343085503	碎
1580635959642	33	15	ease_3	2.272727272727273	1580635909668	增
1550920265268	32	77	ease_4	2.34375	1550920261859	了
1552215645049	32	162	ease_3	2.4375	1552215546167	为
1560110613630	32	37	ease_3	2.4375	1560110580973	娘
1560110633691	32	64	ease_2	2.28125	1560110613639	食
1562658522651	32	67	ease_3	2.21875	1562658317049	况
1562658702222	32	15	ease_3	2.375	1562658522673	欠
1563079875854	32	67	ease_3	2.4375	1563079759755	莫
1565811367009	32	9	ease_3	2.5	1565811296478	舌
1566138211512	32	40	ease_3	2.3125	1566138189741	困
1566138876626	32	44	ease_3	2.28125	1566138821883	愿
1566139706186	32	15	ease_3	2.4375	1566139678823	或
1569527317323	32	39	ease_3	2.46875	1569527305524	厦
1570288637828	32	20	ease_3	2.40625	1570288628889	虎
1572468818220	32	14	ease_3	2.40625	1572468806085	呼
1576945712075	32	12	ease_3	2.4375	1576945662048	技
1579365771410	32	26	ease_3	2.21875	1579365484988	耐
1579433027649	32	11	ease_3	2.25	1579432867154	陪
1579436867938	32	11	ease_3	2.125	1579436725517	冤
1580158535713	32	16	ease_3	2.25	1580158532734	剩
1580640448678	32	11	ease_3	2.3125	1580640389858	宋
1552222210271	31	45	ease_3	2.4193548387096775	1552222157399	江
1563698369487	31	71	ease_3	2.5161290322580645	1563698345921	皮
1565813462967	31	19	ease_3	2.2903225806451615	1565813436331	持
1566139604561	31	16	ease_3	2.2580645161290325	1566139589363	计
1569610766021	31	8	ease_3	2.3870967741935485	1569610763054	净
1570173682816	31	8	ease_3	2.3870967741935485	1570173679943	趣
1577301121179	31	6	ease_3	2.4516129032258065	1577301032846	囚
1577305850673	31	13	ease_3	2.193548387096774	1577304618279	NA
1577799410200	31	18	ease_3	2.161290322580645	1577799372652	器
1577906775645	31	26	ease_3	2.225806451612903	1577906676149	围
1578152151184	31	7	ease_3	2.2903225806451615	1578152017258	险
1578592587065	31	5	ease_3	2.193548387096774	1578592372765	肯
1550920320326	30	88	ease_2	2.4	1550920314025	夕
1551543980547	30	111	ease_3	2.2	1551543874553	取
1552939558695	30	53	ease_3	2.466666666666667	1552939476624	思
1558986601776	30	74	ease_3	2.466666666666667	1558986562737	织
1562656147981	30	64	ease_3	2.3333333333333335	1562655971987	片
1563240437765	30	47	ease_3	2.3666666666666667	1563240294821	采
1563696001187	30	50	ease_3	2.3333333333333335	1563695979323	响
1566138252065	30	64	ease_3	2.3666666666666667	1566138229936	求
1568021242246	30	18	ease_3	2.3666666666666667	1568021239404	剪
1570079626721	30	4	ease_3	2.3333333333333335	1570079620135	育
1570283489779	30	26	ease_3	2.433333333333333	1570283483586	需
1570436876955	30	10	ease_3	2.3666666666666667	1570436873187	余
1570682775670	30	28	ease_3	2.5	1570682772456	昏 (NP)
1572169060529	30	8	ease_2	2.1333333333333333	1572168927563	NA
1572468831967	30	20	ease_3	2.3333333333333335	1572468818250	低
1576420856521	30	25	ease_3	2.3333333333333335	1576420841373	啥
1578254952162	30	28	ease_3	2.2333333333333334	1578254588032	达
1578594668549	30	30	ease_3	2.2	1578594169818	侧
1579363273717	30	6	ease_3	2.2666666666666666	1579362699110	杆
1581362347916	30	4	ease_3	2.2	1581362304523	抽
1550920251603	29	41	ease_3	2.4827586206896552	1550920244392	未 (no story)
1554629638210	29	38	ease_3	2.5172413793103448	1554629516990	产
1562661226886	29	24	ease_3	2.2413793103448274	1562661060324	吹
1562928386164	29	8	ease_3	2.3793103448275863	1562928195566	镜
1563698103236	29	33	ease_3	2.413793103448276	1563698076057	祝
1566140205225	29	58	ease_3	2.2758620689655173	1566140186807	顾
1568021142072	29	41	ease_3	2.1724137931034484	1568021137855	托
1569027469439	29	43	ease_2	2.310344827586207	1569027464926	料
1569046249249	29	14	ease_3	2.4827586206896552	1569046228660	堵
1569396142941	29	20	ease_3	2.4482758620689653	1569396134464	泳
1569527132810	29	28	ease_2	2.4482758620689653	1569527121902	览
1570045289128	29	7	ease_3	2.2758620689655173	1570045278627	究
1571334337984	29	13	ease_3	2.2758620689655173	1571334329209	礼
1572468746148	29	35	ease_3	2.310344827586207	1572468737755	虚
1572468788476	29	30	ease_3	2.2758620689655173	1572468760472	由
1573045476431	29	30	ease_3	2.3448275862068964	1573045353644	练 (RP, NS)
1575127177711	29	9	ease_3	2.2758620689655173	1575127165854	NA
